"title","image","price","url"
"TaCH Madrid Airport","https://cf.bstatic.com/xdata/images/hotel/square600/93516555.webp?k=fa905db83730b181ed35ab902e7f75cd58448448562e133bf6d4687e130fa2bd&o=&s=1","MAD 3 779","https://www.booking.com/hotel/es/tach-by-clementhoteles.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=1846915_335745809_0_2_0%2C1846915_335745809_0_2_0&highlighted_blocks=1846915_335745809_0_2_0%2C1846915_335745809_0_2_0&matching_block_id=1846915_335745809_0_2_0&sr_pri_blocks=1846915_335745809_0_2_0__16150%2C1846915_335745809_0_2_0__16150&from=searchresults#hotelTmpl"
"Generator Madrid","https://cf.bstatic.com/xdata/images/hotel/square600/208849917.webp?k=fad1a601a85dd266f74af3c13412164060794a693db853a0233d5938f993c4a2&o=&s=1","MAD 3 590","https://www.booking.com/hotel/es/generator-madrid.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=309284401_295842973_0_2_0%2C309284401_295842973_0_2_0&highlighted_blocks=309284401_295842973_0_2_0%2C309284401_295842973_0_2_0&matching_block_id=309284401_295842973_0_2_0&sr_pri_blocks=309284401_295842973_0_2_0__2380%2C309284401_295842973_0_2_0__2380&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Bluesock Hostels Madrid","https://cf.bstatic.com/xdata/images/hotel/square600/214405466.webp?k=269ee8456ba7fbe9f04b54ebeb6ed409b216429fac79e898ffee93bbc7a4df06&o=&s=1","MAD 3 590","https://www.booking.com/hotel/es/bluesock-hostels-madrid.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=359056106_351984197_0_2_0%2C359056106_351984197_0_2_0&highlighted_blocks=359056106_351984197_0_2_0%2C359056106_351984197_0_2_0&matching_block_id=359056106_351984197_0_2_0&sr_pri_blocks=359056106_351984197_0_2_0__2300%2C359056106_351984197_0_2_0__2300&from=searchresults#hotelTmpl"
"Cats Hostel Madrid Sol","https://cf.bstatic.com/xdata/images/hotel/square600/14091695.webp?k=581c88235c7d73412e52940cf016b5362b93a5b8dacc67992daaccb4d1d30dde&o=&s=1","MAD 529","https://www.booking.com/hotel/es/cata-s-hostel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=34389307_184348256_0_2_0%2C34389307_184348256_0_2_0&highlighted_blocks=34389307_184348256_0_2_0%2C34389307_184348256_0_2_0&matching_block_id=34389307_184348256_0_2_0&sr_pri_blocks=34389307_184348256_0_2_0__1980%2C34389307_184348256_0_2_0__1980&from=searchresults#hotelTmpl"
"Far Home Atocha","https://cf.bstatic.com/xdata/images/hotel/square600/61268901.webp?k=838bf92136e5af0b6a230a45069f70e20422cbfd328e3467407529848423c5a1&o=&s=1","MAD 731","https://www.booking.com/hotel/es/no-name-city-hostel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=35645204_370425974_0_2_0%2C35645204_370425974_0_2_0&highlighted_blocks=35645204_370425974_0_2_0%2C35645204_370425974_0_2_0&matching_block_id=35645204_370425974_0_2_0&sr_pri_blocks=35645204_370425974_0_2_0__2700%2C35645204_370425974_0_2_0__2700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Toc Hostel Madrid","https://cf.bstatic.com/xdata/images/hotel/square600/30593698.webp?k=aea228b11e3bc2670a031dc2a9cf8d56e533b1cf5fde0e7d6f5902415dfb29db&o=&s=1","MAD 511","https://www.booking.com/hotel/es/toc-hostel-madrid.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=105886308_368781229_0_2_0%2C105886308_368781229_0_2_0&highlighted_blocks=105886308_368781229_0_2_0%2C105886308_368781229_0_2_0&matching_block_id=105886308_368781229_0_2_0&sr_pri_blocks=105886308_368781229_0_2_0__3400%2C105886308_368781229_0_2_0__3400&from=searchresults#hotelTmpl"
"Arc House Madrid - Puerta del Sol Only Adults","https://cf.bstatic.com/xdata/images/hotel/square600/268586596.webp?k=4ef031815034693812ad7131a2c8a9a7b93b3e63f9a5d4d77fa55e76abcc152d&o=&s=1","MAD 511","https://www.booking.com/hotel/es/arc-house-madrid.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=664155901_354839896_1_0_0%2C664155901_354839896_1_0_0&highlighted_blocks=664155901_354839896_1_0_0%2C664155901_354839896_1_0_0&matching_block_id=664155901_354839896_1_0_0&sr_pri_blocks=664155901_354839896_1_0_0__1581%2C664155901_354839896_1_0_0__1581&from=searchresults#hotelTmpl"
"Safestay Madrid Central","https://cf.bstatic.com/xdata/images/hotel/square600/199499558.webp?k=6e096a82381d2e8856d883abbf3dc5d8d53c75e005cb56f6db66e213a2e54896&o=&s=1","MAD 440","https://www.booking.com/hotel/es/safestay-madrid.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=42054012_102339676_1_0_0%2C42054012_102339676_1_0_0&highlighted_blocks=42054012_102339676_1_0_0%2C42054012_102339676_1_0_0&matching_block_id=42054012_102339676_1_0_0&sr_pri_blocks=42054012_102339676_1_0_0__1700%2C42054012_102339676_1_0_0__1700&from=searchresults#hotelTmpl"
"Far Home Bernabeu","https://cf.bstatic.com/xdata/images/hotel/square600/246160089.webp?k=96d41fc615e1dd5d3484cbe6ffdecf56c4bb55a223648b662be0eca8f7834696&o=&s=1","MAD 600","https://www.booking.com/hotel/es/far-home-bernabeu.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=278997809_367676541_0_2_0%2C278997809_367676541_0_2_0&highlighted_blocks=278997809_367676541_0_2_0%2C278997809_367676541_0_2_0&matching_block_id=278997809_367676541_0_2_0&sr_pri_blocks=278997809_367676541_0_2_0__3500%2C278997809_367676541_0_2_0__3500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Bastardo Hostel","https://cf.bstatic.com/xdata/images/hotel/square600/140286633.webp?k=35351c42de33366d2e87853725ebfd92f6518ecf2c69fd419654074300e0625c&o=&s=1","MAD 756","https://www.booking.com/hotel/es/bastardo-hostel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=312133701_355146323_0_2_0%2C312133701_355146323_0_2_0&highlighted_blocks=312133701_355146323_0_2_0%2C312133701_355146323_0_2_0&matching_block_id=312133701_355146323_0_2_0&sr_pri_blocks=312133701_355146323_0_2_0__3797%2C312133701_355146323_0_2_0__3797&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
